Policy_ID,Sub_Type,Business_Type,Employees,Annual_Premium,Coverage_Amount,Risk_Level,Claim_Status,No_Claim_Years
B00001,Workers Compensation,Construction,104,163449.29,5557184,Medium,No,3
B00002,Professional Indemnity,Manufacturing,316,78654.02,3410960,High,No,4
B00003,Liability,IT,390,54981.94,2461707,Low,No,2
B00004,Professional Indemnity,Construction,212,162904.05,5121835,Medium,Yes,4
B00005,Liability,Retail,193,51109.34,2493495,Medium,No,4
B00006,Liability,Healthcare,89,193489.24,9279586,Medium,No,1
B00007,Professional Indemnity,Retail,343,92425.05,3368260,High,Yes,2
B00008,Professional Indemnity,Healthcare,37,185736.56,8122590,Medium,No,2
B00009,Professional Indemnity,Healthcare,219,55451.58,1732140,Low,No,2
B00010,Professional Indemnity,Construction,310,93792.85,2033740,High,No,4
B00011,Workers Compensation,Construction,40,112650.33,3710359,High,No,3
B00012,Liability,Retail,22,109889.93,3661472,Low,Yes,2
B00013,Liability,Manufacturing,214,174247.91,9445681,Medium,Yes,5
B00014,Liability,Healthcare,243,119402.4,3495204,Medium,No,4
B00015,Workers Compensation,Manufacturing,356,176133.44,8806672,Low,Yes,1
B00016,Liability,Construction,384,33598.67,1142336,Medium,Yes,3
B00017,Workers Compensation,Manufacturing,285,179220.38,9120420,High,No,5
B00018,Professional Indemnity,Construction,111,38018.0,1514124,High,Yes,5
B00019,Workers Compensation,Healthcare,233,40767.02,1039975,Low,No,1
B00020,Professional Indemnity,IT,51,159804.05,8319661,Medium,No,3
B00021,Liability,IT,483,29037.07,1259240,High,No,4
B00022,Workers Compensation,IT,118,141328.0,5794448,Medium,Yes,0
B00023,Liability,Healthcare,433,171968.96,8587558,Low,No,3
B00024,Professional Indemnity,IT,251,43211.14,661395,Medium,No,1
B00025,Liability,Retail,261,76431.02,3128535,High,No,5
B00026,Liability,Healthcare,157,122152.9,4370322,Medium,No,4
B00027,Workers Compensation,Healthcare,79,184013.39,5669819,Medium,No,3
B00028,Liability,Construction,411,176320.0,4936960,Low,No,0
B00029,Professional Indemnity,Manufacturing,195,123858.0,3096450,High,No,0
B00030,Professional Indemnity,Construction,123,150221.93,2971904,Medium,No,2
B00031,Liability,Construction,245,120123.95,2876771,High,No,2
B00032,Workers Compensation,Manufacturing,243,46697.98,1953691,Low,No,1
B00033,Liability,Manufacturing,444,121174.71,5407332,Medium,No,3
B00034,Professional Indemnity,Manufacturing,33,69665.15,1110270,Low,No,3
B00035,Liability,Healthcare,95,168564.05,3916101,Low,No,5
B00036,Liability,Construction,234,31139.17,516735,Medium,No,5
B00037,Workers Compensation,Retail,412,88942.19,1967920,Medium,No,5
B00038,Liability,IT,473,69892.15,2619864,Medium,No,2
B00039,Workers Compensation,Retail,63,70975.29,1659020,High,No,3
B00040,Workers Compensation,Manufacturing,230,18855.84,961632,Medium,No,3
B00041,Workers Compensation,Manufacturing,94,190612.0,6480808,Medium,Yes,0
B00042,Workers Compensation,Healthcare,215,27341.63,1081822,Medium,Yes,2
B00043,Workers Compensation,Healthcare,197,67260.01,2770998,High,No,4
B00044,Liability,Manufacturing,210,121809.45,2917136,Low,No,2
B00045,Professional Indemnity,Construction,317,45627.71,643084,Medium,No,4
B00046,Liability,Healthcare,119,117014.0,1170140,Low,Yes,0
B00047,Professional Indemnity,Construction,38,61185.32,1623284,Medium,No,1
B00048,Workers Compensation,Construction,169,41676.92,619934,High,No,3
B00049,Workers Compensation,Construction,380,153442.0,2148188,High,No,0
B00050,Liability,IT,338,81862.06,2348379,Medium,No,3
B00051,Professional Indemnity,Retail,439,116688.94,2065472,Medium,No,5
B00052,Professional Indemnity,Construction,220,71468.46,729270,Low,No,1
B00053,Workers Compensation,Manufacturing,456,70127.82,1502739,Medium,Yes,1
