Policy_ID,Sub_Type,Vehicle_Type,Vehicle_Age,Annual_Premium,Coverage_Amount,No_Claim_Bonus,Accident_History,Claim_Status,No_Claim_Years
M00001,Third Party,Car,9,19788.56,147175,10,No,No,3
M00002,Third Party,Truck,0,17087.79,407572,20,No,Yes,4
M00003,Comprehensive,Car,9,28120.51,527040,10,No,No,2
M00004,Comprehensive,Bike,14,15066.88,98010,50,No,Yes,4
M00005,Comprehensive,Car,13,4806.46,72954,10,Yes,No,4
M00006,Comprehensive,Truck,14,20271.3,186165,50,No,No,1
M00007,Comprehensive,Truck,10,4405.35,100914,20,Yes,No,2
M00008,Comprehensive,Car,5,6543.21,156699,30,No,No,2
M00009,Third Party,Bike,3,5050.74,110439,50,Yes,No,2
M00010,Third Party,Car,11,11441.98,248100,10,No,No,4
M00011,Comprehensive,Car,2,22363.66,498981,40,Yes,Yes,3
M00012,Third Party,Car,10,19921.58,269659,30,No,No,2
M00013,Comprehensive,Car,8,4609.09,71386,10,No,Yes,5
M00014,Third Party,Bike,1,18954.67,205500,10,No,No,4
M00015,Comprehensive,Car,3,26092.5,399375,10,No,No,1
M00016,Comprehensive,Bike,3,20596.1,196947,10,Yes,Yes,3
M00017,Comprehensive,Car,8,24981.66,497466,20,No,No,5
M00018,Comprehensive,Bike,12,7307.3,56588,40,No,No,5
M00019,Comprehensive,Bike,10,10436.02,106490,10,Yes,No,1
M00020,Comprehensive,Car,8,24369.34,129460,50,No,No,3
M00021,Third Party,Bike,9,22348.06,557267,30,No,No,4
M00022,Third Party,Car,9,6165.0,61650,0,No,Yes,0
M00023,Third Party,Car,10,27385.86,640134,50,No,No,3
M00024,Third Party,Bike,8,6298.46,83551,0,Yes,No,1
M00025,Third Party,Bike,14,8825.88,126932,10,No,No,5
M00026,Third Party,Truck,10,23570.2,408864,50,No,Yes,4
M00027,Comprehensive,Truck,14,4334.19,92100,10,No,No,3
M00028,Comprehensive,Car,0,13054.0,104432,20,No,No,0
M00029,Third Party,Bike,0,6259.0,106403,20,No,No,0
