Policy_ID,Sub_Type,Asset_Type,Annual_Premium,Coverage_Amount,Risk_Factor,Claim_Status,No_Claim_Years
S00001,Crop Insurance,Dog,18651.6,118902,Theft,No,3
S00002,Crop Insurance,Mobile,10447.66,226540,Weather,Yes,4
S00003,Pet Insurance,Agriculture,23392.46,219213,Damage,No,2
S00004,Gadget Insurance,Mobile,34343.46,632978,Hacking,No,4
S00005,Pet Insurance,Agriculture,43439.85,1601264,Theft,Yes,4
S00006,Crop Insurance,Agriculture,27942.74,969442,Hacking,No,1
S00007,Gadget Insurance,Data,22392.69,279792,Theft,No,2
S00008,Crop Insurance,Laptop,47240.16,1623204,Theft,No,2
S00009,Pet Insurance,Dog,41844.63,1612090,Hacking,Yes,2
S00010,Pet Insurance,Data,33364.82,470249,Weather,Yes,4
S00011,Pet Insurance,Mobile,28662.12,791778,Theft,No,3
S00012,Crop Insurance,Mobile,39723.1,744498,Weather,No,2
S00013,Gadget Insurance,Data,33593.31,557460,Theft,Yes,5
S00014,Crop Insurance,Mobile,11694.71,190185,Health,No,4
S00015,Cyber Insurance,Cat,44459.66,272202,Weather,No,1
S00016,Crop Insurance,Cat,3188.76,101640,Theft,No,3
S00017,Pet Insurance,Laptop,19077.25,823095,Hacking,No,5
S00018,Gadget Insurance,Agriculture,17887.69,554092,Damage,No,5
S00019,Cyber Insurance,Mobile,35501.48,724520,Weather,No,1
S00020,Cyber Insurance,Dog,21553.3,183200,Health,Yes,3
S00021,Pet Insurance,Mobile,46073.21,1948089,Damage,No,4
S00022,Pet Insurance,Laptop,46336.0,1390080,Theft,Yes,0
S00023,Cyber Insurance,Dog,12711.74,108048,Health,No,3
S00024,Pet Insurance,Agriculture,37037.14,1360548,Hacking,No,1
S00025,Pet Insurance,Mobile,1936.2,10710,Hacking,No,5
S00026,Gadget Insurance,Laptop,20879.65,724384,Hacking,Yes,4
S00027,Pet Insurance,Dog,7122.0,121072,Damage,No,3
S00028,Gadget Insurance,Laptop,45163.0,316141,Weather,No,0
S00029,Crop Insurance,Cat,43132.0,733244,Hacking,No,0
S00030,Cyber Insurance,Mobile,25790.58,161124,Damage,No,2
S00031,Crop Insurance,Agriculture,16794.51,524610,Health,Yes,2
S00032,Crop Insurance,Mobile,17202.92,368634,Health,No,1
S00033,Pet Insurance,Laptop,28469.18,1119176,Weather,Yes,3
S00034,Pet Insurance,Cat,37706.98,1402205,Damage,No,3
S00035,Crop Insurance,Agriculture,39263.61,1476858,Weather,No,5
S00036,Crop Insurance,Cat,44109.53,1219950,Health,No,5
S00037,Pet Insurance,Data,36667.55,283955,Weather,No,5
S00038,Gadget Insurance,Data,36503.84,1292306,Health,No,2
S00039,Crop Insurance,Cat,24756.17,867999,Weather,No,3
S00040,Gadget Insurance,Dog,21801.77,347460,Theft,No,3
S00041,Gadget Insurance,Mobile,40128.0,1524864,Health,No,0
