Policy_ID,Sub_Type,Property_Type,Property_Value,Annual_Premium,Risk_Type,Location,Claim_Status,No_Claim_Years
PR00001,Home Insurance,Warehouse,5929908,35859.42,Earthquake,Rural,No,3
PR00002,Home Insurance,Shop,5176532,20253.36,Fire,Coastal,No,4
PR00003,Fire Insurance,Apartment,1000611,8482.25,Earthquake,Rural,Yes,2
PR00004,Fire Insurance,House,2003755,16856.28,Flood,Coastal,No,4
PR00005,Theft Insurance,Warehouse,3676238,32115.01,Theft,Coastal,No,4
PR00006,Fire Insurance,Factory,4223133,27350.82,Flood,Industrial,No,1
PR00007,Home Insurance,Shop,3780853,14090.99,Earthquake,Urban,No,2
PR00008,Home Insurance,Apartment,6578741,35958.34,Earthquake,Urban,No,2
PR00009,Home Insurance,Warehouse,6304348,46906.9,Theft,Rural,No,2
PR00010,Fire Insurance,Apartment,4744188,35083.2,Earthquake,Coastal,No,4
PR00011,Home Insurance,House,7963423,55981.16,Earthquake,Industrial,No,3
PR00012,Fire Insurance,House,1540153,12105.84,Earthquake,Urban,No,2
PR00013,Fire Insurance,Apartment,5253840,23066.25,Flood,Industrial,No,5
PR00014,Home Insurance,Shop,1287390,6333.9,Fire,Urban,No,4
PR00015,Fire Insurance,Warehouse,6892412,50957.06,Flood,Industrial,No,1
PR00016,Fire Insurance,Apartment,428294,3323.35,Fire,Coastal,Yes,3
PR00017,Home Insurance,Warehouse,6742630,29398.22,Flood,Rural,Yes,5
PR00018,Home Insurance,House,4562227,20285.79,Fire,Coastal,No,5
PR00019,Home Insurance,Apartment,8425685,37152.78,Fire,Industrial,No,1
PR00020,Home Insurance,Warehouse,2586844,22246.01,Earthquake,Coastal,Yes,3
PR00021,Home Insurance,Factory,522338,1152.96,Flood,Industrial,No,4
PR00022,Fire Insurance,Shop,9347953,90120.0,Fire,Urban,No,0
PR00023,Home Insurance,Warehouse,841931,2829.22,Theft,Urban,No,3
PR00024,Fire Insurance,House,5744974,42629.02,Fire,Industrial,No,1
PR00025,Fire Insurance,Apartment,4632435,37124.93,Fire,Coastal,Yes,5
PR00026,Theft Insurance,Shop,1733080,15952.36,Flood,Urban,No,4
PR00027,Fire Insurance,Warehouse,2315213,14280.71,Fire,Coastal,No,3
PR00028,Theft Insurance,Warehouse,7639903,43417.0,Earthquake,Coastal,No,0
PR00029,Home Insurance,Warehouse,6743091,59108.0,Flood,Urban,No,0
PR00030,Theft Insurance,Apartment,1376754,12712.81,Flood,Rural,No,2
PR00031,Theft Insurance,House,9913415,63148.22,Theft,Rural,No,2
PR00032,Home Insurance,Apartment,3164471,8279.04,Fire,Urban,No,1
PR00033,Home Insurance,House,8914386,54599.49,Earthquake,Coastal,No,3
PR00034,Home Insurance,Shop,553487,2681.46,Earthquake,Coastal,No,3
PR00035,Theft Insurance,Factory,3069738,13782.08,Fire,Urban,No,5
PR00036,Fire Insurance,Apartment,1353051,5098.11,Flood,Coastal,No,5
PR00037,Home Insurance,Warehouse,8001508,54922.23,Flood,Industrial,No,5
PR00038,Fire Insurance,Shop,4240281,32633.43,Theft,Industrial,No,2
PR00039,Fire Insurance,Warehouse,9599687,26514.32,Earthquake,Coastal,No,3
PR00040,Theft Insurance,Shop,7653418,50326.48,Fire,Rural,No,3
PR00041,Home Insurance,House,232207,1621.0,Earthquake,Industrial,Yes,0
PR00042,Fire Insurance,Factory,9448724,84440.29,Theft,Coastal,No,2
PR00043,Home Insurance,Apartment,4866212,10523.3,Fire,Rural,No,4
PR00044,Fire Insurance,House,1075384,7739.86,Fire,Urban,No,2
PR00045,Home Insurance,Shop,8665645,60190.98,Flood,Coastal,No,4
PR00046,Fire Insurance,House,7309418,18521.0,Earthquake,Coastal,No,0
PR00047,Home Insurance,Shop,9098197,55440.56,Theft,Industrial,No,1
PR00048,Fire Insurance,Warehouse,550415,1532.26,Flood,Industrial,No,3
PR00049,Fire Insurance,Shop,6764500,60757.0,Earthquake,Urban,No,0
PR00050,Home Insurance,Warehouse,2102424,5174.67,Earthquake,Coastal,No,3
PR00051,Home Insurance,Shop,9187172,36352.98,Theft,Industrial,No,5
PR00052,Theft Insurance,House,8204618,68675.46,Flood,Rural,No,1
PR00053,Fire Insurance,Warehouse,7872111,74600.54,Flood,Industrial,Yes,1
PR00054,Home Insurance,House,3858010,18773.0,Flood,Industrial,No,0
PR00055,Home Insurance,Shop,1945045,11061.26,Flood,Rural,Yes,1
PR00056,Fire Insurance,Shop,1585538,7729.45,Earthquake,Coastal,No,4
PR00057,Fire Insurance,Apartment,6362206,34803.72,Flood,Urban,Yes,1
PR00058,Fire Insurance,House,3555331,29149.66,Earthquake,Rural,No,3
PR00059,Home Insurance,House,2622077,10495.23,Flood,Industrial,No,3
PR00060,Theft Insurance,Warehouse,4404396,21220.11,Earthquake,Coastal,No,3
PR00061,Fire Insurance,Apartment,5959259,50415.89,Earthquake,Industrial,Yes,3
PR00062,Fire Insurance,Warehouse,7259678,29814.63,Fire,Industrial,No,4
PR00063,Home Insurance,Warehouse,5828228,25819.39,Flood,Rural,No,2
PR00064,Fire Insurance,Factory,2535544,17599.34,Theft,Urban,No,5
PR00065,Theft Insurance,Warehouse,9453287,58942.0,Flood,Industrial,No,0
PR00066,Fire Insurance,Factory,7250666,48192.8,Theft,Industrial,No,3
PR00067,Home Insurance,House,4005500,9310.0,Fire,Industrial,No,1
PR00068,Home Insurance,Factory,4428275,38204.87,Earthquake,Urban,No,3
PR00069,Fire Insurance,Shop,4926418,16567.88,Flood,Coastal,No,1
PR00070,Theft Insurance,Shop,1505766,8255.51,Flood,Coastal,No,5
PR00071,Home Insurance,Warehouse,647908,1448.99,Earthquake,Coastal,No,5
PR00072,Home Insurance,Shop,1069699,2940.45,Fire,Rural,Yes,5
PR00073,Theft Insurance,House,3270476,23790.48,Fire,Rural,No,1
PR00074,Fire Insurance,Factory,6925691,53167.94,Flood,Rural,No,3
PR00075,Home Insurance,Apartment,9969220,69037.85,Earthquake,Coastal,No,5
PR00076,Theft Insurance,Apartment,9189211,75430.35,Fire,Industrial,No,4
PR00077,Home Insurance,Apartment,1728975,11838.4,Theft,Coastal,No,1
PR00078,Home Insurance,Apartment,9936309,19691.14,Fire,Industrial,No,1
PR00079,Fire Insurance,House,5740222,16211.09,Theft,Urban,No,3
PR00080,Home Insurance,Factory,3597662,29193.22,Earthquake,Rural,No,1
PR00081,Theft Insurance,Warehouse,863979,6281.8,Earthquake,Rural,Yes,1
PR00082,Theft Insurance,House,3186002,24724.95,Theft,Urban,No,5
PR00083,Theft Insurance,Factory,1085954,2352.04,Flood,Coastal,Yes,3
PR00084,Fire Insurance,Shop,9594138,42507.78,Earthquake,Rural,No,5
PR00085,Fire Insurance,Apartment,8363203,32061.17,Theft,Rural,No,5
PR00086,Home Insurance,Shop,4641703,18823.84,Theft,Rural,No,3
PR00087,Fire Insurance,Apartment,5863246,41448.0,Flood,Industrial,Yes,0
PR00088,Home Insurance,Shop,9822440,19759.71,Theft,Coastal,No,5
PR00089,Theft Insurance,Apartment,8189155,20600.17,Flood,Industrial,No,4
PR00090,Home Insurance,House,3140603,27905.33,Flood,Rural,No,4
PR00091,Fire Insurance,Factory,2778343,26454.12,Fire,Urban,No,1
PR00092,Fire Insurance,Shop,4018838,24356.05,Earthquake,Industrial,No,4
PR00093,Fire Insurance,Factory,1577966,7904.68,Flood,Industrial,No,1
PR00094,Home Insurance,Factory,6492986,12992.0,Fire,Coastal,No,0
PR00095,Fire Insurance,Shop,4421432,28642.35,Earthquake,Industrial,No,3
PR00096,Home Insurance,Apartment,8085305,58214.61,Fire,Industrial,No,3
PR00097,Fire Insurance,House,5908651,11365.83,Fire,Urban,No,3
PR00098,Home Insurance,Shop,5007865,23886.57,Earthquake,Industrial,No,4
PR00099,Home Insurance,House,9402850,38367.0,Earthquake,Rural,No,0
PR00100,Home Insurance,House,1661925,14176.8,Theft,Urban,Yes,4
PR00101,Fire Insurance,House,7056611,27398.95,Fire,Rural,No,4
PR00102,Theft Insurance,Factory,3874440,17037.0,Flood,Rural,No,0
PR00103,Fire Insurance,Factory,7459731,25326.0,Theft,Industrial,Yes,0
PR00104,Fire Insurance,Warehouse,6373314,29339.0,Earthquake,Urban,Yes,0
PR00105,Home Insurance,Factory,2935343,20642.0,Fire,Industrial,No,0
PR00106,Theft Insurance,House,2180552,14858.6,Fire,Industrial,No,3
PR00107,Fire Insurance,Warehouse,6679289,38898.12,Fire,Rural,No,2
PR00108,Home Insurance,Warehouse,473605,3067.52,Fire,Urban,No,2
PR00109,Theft Insurance,Factory,8659367,47837.0,Flood,Coastal,No,0
PR00110,Home Insurance,Apartment,3875732,19789.04,Theft,Rural,No,2
PR00111,Home Insurance,Shop,4706499,31715.29,Earthquake,Coastal,No,2
PR00112,Fire Insurance,Warehouse,2446993,17829.0,Fire,Rural,No,0
PR00113,Theft Insurance,Shop,7633556,71575.73,Fire,Industrial,No,2
PR00114,Home Insurance,Warehouse,4838840,40776.97,Earthquake,Industrial,No,4
PR00115,Fire Insurance,Warehouse,1193700,5765.34,Fire,Coastal,No,1
PR00116,Fire Insurance,Warehouse,7899621,60579.68,Earthquake,Urban,No,1
PR00117,Theft Insurance,Apartment,8863197,77264.0,Fire,Urban,No,0
PR00118,Home Insurance,Warehouse,8914848,37983.69,Fire,Coastal,No,3
PR00119,Theft Insurance,Apartment,9979255,44640.0,Fire,Rural,No,0
PR00120,Fire Insurance,Factory,7905330,39691.95,Fire,Coastal,Yes,3
PR00121,Fire Insurance,Apartment,8884759,50945.3,Fire,Coastal,No,1
PR00122,Home Insurance,Shop,6962815,27023.0,Theft,Industrial,No,0
PR00123,Home Insurance,Apartment,7635805,44904.07,Earthquake,Industrial,No,5
PR00124,Home Insurance,Apartment,3723619,27442.3,Flood,Coastal,No,4
PR00125,Fire Insurance,Shop,7077386,29635.06,Theft,Rural,No,2
PR00126,Home Insurance,House,7401954,68358.77,Flood,Rural,No,3
PR00127,Theft Insurance,Shop,9620387,42640.66,Flood,Coastal,No,5
PR00128,Home Insurance,House,3705236,20875.25,Theft,Industrial,No,2
PR00129,Theft Insurance,Shop,5434223,44923.67,Earthquake,Coastal,No,2
PR00130,Home Insurance,Apartment,1934941,8872.0,Fire,Rural,No,0
PR00131,Fire Insurance,House,3455894,14436.73,Fire,Rural,No,2
PR00132,Home Insurance,Apartment,2320493,18024.0,Flood,Rural,No,4
PR00133,Fire Insurance,Shop,2269199,5775.15,Theft,Rural,No,5
PR00134,Theft Insurance,Factory,9109497,58442.26,Earthquake,Coastal,No,2
PR00135,Home Insurance,Apartment,6012419,19390.0,Earthquake,Rural,No,0
PR00136,Home Insurance,Factory,9358405,26467.35,Fire,Rural,No,4
PR00137,Home Insurance,Warehouse,6682946,26090.54,Fire,Industrial,No,1
PR00138,Home Insurance,House,9834874,83844.08,Flood,Coastal,No,5
PR00139,Home Insurance,Warehouse,8946696,57129.39,Fire,Industrial,No,2
PR00140,Fire Insurance,Shop,9357690,53358.0,Earthquake,Rural,Yes,0
PR00141,Home Insurance,Apartment,3151506,22416.52,Fire,Industrial,No,1
PR00142,Home Insurance,Shop,4558760,33299.42,Fire,Coastal,No,1
PR00143,Home Insurance,House,5120113,11385.6,Earthquake,Urban,No,3
PR00144,Fire Insurance,House,1957794,11091.48,Flood,Rural,No,4
PR00145,Fire Insurance,Factory,4158005,23616.24,Theft,Coastal,No,2
PR00146,Fire Insurance,Apartment,1439310,6523.0,Earthquake,Rural,Yes,0
PR00147,Home Insurance,House,6014653,35728.59,Earthquake,Coastal,No,3
PR00148,Fire Insurance,Shop,4016688,32224.78,Flood,Urban,No,4
PR00149,Home Insurance,Shop,1359773,8893.32,Theft,Coastal,No,3
PR00150,Fire Insurance,Shop,2211616,4577.45,Fire,Urban,No,5
PR00151,Theft Insurance,Warehouse,5940978,48983.28,Fire,Coastal,No,4
PR00152,Home Insurance,Apartment,7448765,30779.43,Earthquake,Rural,No,4
PR00153,Home Insurance,Warehouse,3440971,24108.92,Theft,Urban,Yes,2
PR00154,Home Insurance,Warehouse,2037677,14720.07,Theft,Rural,Yes,4
PR00155,Home Insurance,Apartment,9949625,60563.82,Flood,Industrial,No,3
PR00156,Home Insurance,Warehouse,2933661,18410.47,Flood,Coastal,Yes,4
PR00157,Home Insurance,Warehouse,9056911,77195.99,Flood,Urban,No,2
PR00158,Theft Insurance,House,4861741,10584.57,Flood,Industrial,No,2
PR00159,Home Insurance,Factory,9209852,51908.56,Flood,Urban,No,5
PR00160,Home Insurance,Factory,5150544,26871.03,Fire,Coastal,No,3
PR00161,Fire Insurance,Warehouse,1991971,14508.9,Earthquake,Urban,Yes,1
PR00162,Fire Insurance,Apartment,2870651,6800.22,Flood,Industrial,Yes,1
PR00163,Home Insurance,Shop,6344644,13321.76,Theft,Industrial,No,4
PR00164,Fire Insurance,Shop,5110614,21944.49,Flood,Industrial,Yes,5
PR00165,Home Insurance,Apartment,8797181,60675.0,Flood,Rural,No,0
PR00166,Home Insurance,House,719008,1814.3,Theft,Rural,No,4
PR00167,Fire Insurance,Apartment,6096921,21666.98,Earthquake,Rural,Yes,5
PR00168,Fire Insurance,Factory,4532975,18299.6,Fire,Rural,Yes,3
PR00169,Fire Insurance,Shop,3464624,26934.09,Theft,Coastal,Yes,3
PR00170,Home Insurance,Apartment,2875993,9659.45,Flood,Urban,Yes,3
PR00171,Home Insurance,Warehouse,9669099,42074.11,Flood,Rural,No,3
PR00172,Fire Insurance,Apartment,3879835,32567.13,Flood,Coastal,No,3
PR00173,Fire Insurance,Apartment,3737633,12320.44,Fire,Industrial,No,5
PR00174,Home Insurance,Warehouse,569104,5118.9,Theft,Urban,No,5
PR00175,Home Insurance,Factory,5499802,31868.95,Flood,Rural,No,2
PR00176,Home Insurance,House,4981946,15808.38,Fire,Industrial,No,1
PR00177,Home Insurance,Factory,888123,6260.81,Flood,Coastal,No,3
