Policy_ID,Trip_Type,Destination,Duration_Days,Premium,Coverage_Amount,Medical_Cover,Trip_Cancellation,Baggage_Loss,Claim_Status,No_Claim_Years
T00001,International,Singapore,14,8936.62,370305,Yes,No,No,No,3
T00002,Domestic,Singapore,10,2468.26,69576,Yes,No,No,No,4
T00003,International,India,2,8623.43,682404,Yes,No,No,No,2
T00004,Domestic,Singapore,26,2762.49,113810,No,No,No,No,4
T00005,International,Australia,20,9031.83,744192,Yes,No,No,No,4
T00006,International,India,23,6875.68,210480,Yes,No,Yes,No,1
T00007,International,India,7,4189.26,309702,Yes,No,No,No,2
T00008,International,UAE,26,3213.5,227528,Yes,No,No,No,2
T00009,Domestic,Europe,21,4821.21,396580,Yes,No,No,No,2
T00010,International,Europe,13,8123.3,501999,Yes,No,No,No,4
T00011,Domestic,India,5,5989.75,400932,Yes,Yes,Yes,No,3
T00012,Domestic,India,12,2760.19,183936,Yes,No,No,No,2
T00013,Domestic,Australia,13,5060.15,201528,Yes,No,No,Yes,5
T00014,Domestic,UAE,17,1252.58,66542,Yes,No,Yes,Yes,4
T00015,International,UK,11,7441.14,167046,Yes,No,No,No,1
T00016,International,UK,25,2938.4,68684,Yes,No,No,No,3
T00017,Domestic,India,8,3639.19,225456,Yes,Yes,No,No,5
T00018,Domestic,Australia,17,4855.86,188020,Yes,No,No,Yes,5
T00019,International,UAE,28,491.96,39156,Yes,No,No,No,1
T00020,International,Europe,18,1718.62,67562,Yes,No,Yes,No,3
T00021,International,Europe,20,5649.5,128625,Yes,No,No,No,4
T00022,Domestic,USA,5,761.0,46421,Yes,No,No,No,0
T00023,Domestic,India,8,4657.02,178128,Yes,No,Yes,No,3
T00024,International,India,29,9746.1,467415,Yes,No,Yes,No,1
T00025,Domestic,Singapore,11,7043.35,553232,Yes,No,No,No,5
T00026,Domestic,USA,16,1283.94,37584,No,Yes,No,Yes,4
T00027,Domestic,Australia,13,6633.52,197344,Yes,Yes,No,No,3
T00028,International,UAE,20,4705.0,366990,No,No,No,No,0
T00029,Domestic,Europe,23,997.0,46859,Yes,No,No,No,0
T00030,Domestic,India,22,3856.01,228855,Yes,No,No,No,2
T00031,Domestic,Europe,16,4839.46,277145,Yes,No,No,No,2
T00032,Domestic,USA,3,1930.6,128050,Yes,No,No,No,1
T00033,International,Australia,19,1523.79,72855,Yes,No,No,No,3
T00034,Domestic,UAE,25,2775.58,230022,No,No,Yes,No,3
T00035,International,USA,12,8539.34,245622,Yes,No,No,No,5
T00036,Domestic,Australia,6,6986.4,262786,No,No,No,No,5
T00037,International,Singapore,3,6444.05,206741,Yes,No,No,No,5
T00038,International,UAE,10,9473.39,286056,Yes,No,Yes,No,2
T00039,International,India,21,2848.05,190638,Yes,No,No,No,3
T00040,International,UAE,9,4939.38,335872,Yes,No,Yes,No,3
